729 3
242 640 12
243 486 38
243 282 30
243 439 27
244 172 20
244 498 6
244 97 2
245 604 12
245 265 47
245 1 39
246 490 29
246 185 25
246 211 18
247 656 39
247 203 30
247 13 8
248 244 42
248 240 0
248 170 32
249 141 20
249 138 46
249 261 43
250 115 35
250 381 37
250 542 7
251 147 34
251 75 15
251 597 40
252 686 1
252 665 14
252 120 28
253 582 25
253 443 32
253 276 27
254 635 36
254 449 49
254 62 10
255 414 13
255 674 21
255 133 42
256 254 21
256 555 11
256 680 22
257 617 40
257 24 33
257 490 50
258 283 22
258 30 21
258 463 15
259 354 3
259 386 19
259 38 28
260 17 11
260 660 0
260 673 47
261 662 1
261 496 31
261 239 23
262 71 48
262 574 13
262 405 7
263 314 2
263 412 6
263 464 35
264 280 48
264 353 27
264 2 50
265 90 21
265 27 45
265 58 15
266 37 33
266 356 36
266 127 30
267 637 31
267 721 1
267 426 19
268 349 48
268 294 13
268 672 34
269 163 19
269 439 12
269 164 49
270 204 32
270 216 34
270 63 34
271 702 2
271 480 17
271 258 11
272 66 15
272 241 28
272 368 34
273 18 13
273 514 2
273 91 6
274 644 24
274 21 23
274 86 41
275 677 26
275 700 34
275 384 45
276 665 28
276 364 37
276 328 24
277 387 10
277 417 6
277 4 40
278 541 6
278 355 18
278 10 21
279 69 35
279 354 32
279 708 42
280 391 42
280 606 27
280 617 38
281 449 47
281 245 1
281 728 30
282 465 17
282 572 38
282 539 50
283 120 48
283 261 45
283 686 28
284 122 3
284 59 37
284 10 27
285 412 13
285 325 25
285 208 24
286 253 12
286 586 7
286 5 29
287 536 20
287 499 22
287 345 42
288 434 44
288 217 40
288 263 37
289 36 3
289 476 26
289 51 6
290 191 43
290 84 21
290 153 1
291 703 22
291 126 16
291 128 10
292 331 11
292 150 4
292 372 2
293 509 15
293 52 10
293 79 13
294 158 37
294 196 2
294 68 38
295 84 43
295 238 0
295 267 17
296 165 32
296 440 34
296 321 20
297 260 36
297 64 2
297 14 13
298 430 11
298 111 45
298 675 24
299 305 21
299 506 34
299 325 1
300 610 18
300 279 6
300 552 8
301 699 25
301 561 2
301 6 1
302 491 35
302 485 7
302 291 29
303 40 33
303 439 16
303 87 38
304 656 9
304 120 49
304 48 33
305 195 23
305 117 46
305 264 10
306 410 40
306 54 9
306 34 27
307 221 28
307 579 32
307 520 49
308 129 20
308 283 34
308 305 21
309 366 27
309 112 9
309 605 5
310 517 5
310 358 0
310 433 4
311 275 2
311 525 35
311 468 4
312 18 24
312 264 8
312 416 14
313 53 49
313 143 41
313 394 26
314 654 15
314 578 15
314 350 25
315 390 3
315 442 5
315 101 37
316 186 29
316 484 19
316 689 36
317 396 22
317 427 13
317 227 18
318 506 27
318 6 18
318 691 3
319 215 34
319 195 12
319 454 44
320 615 33
320 89 47
320 256 33
321 700 6
321 49 26
321 38 18
322 136 9
322 609 40
322 369 24
323 242 29
323 256 40
323 727 6
324 434 23
324 450 47
324 661 45
325 183 45
325 409 26
325 398 26
326 172 3
326 70 28
326 642 8
327 661 48
327 4 15
327 201 12
328 448 38
328 416 23
328 196 32
329 252 34
329 219 37
329 29 6
330 33 43
330 271 13
330 423 49
331 119 26
331 78 33
331 113 34
332 232 40
332 136 28
332 201 46
333 244 45
333 320 46
333 437 44
334 576 24
334 547 46
334 125 6
335 376 12
335 507 6
335 677 18
336 132 50
336 488 28
336 180 47
337 579 47
337 37 24
337 129 48
338 722 14
338 95 23
338 545 15
339 564 13
339 71 28
339 536 34
340 215 40
340 480 22
340 572 29
341 52 41
341 271 38
341 86 30
342 722 26
342 510 22
342 352 1
343 486 20
343 603 24
343 203 40
344 424 49
344 585 48
344 509 21
345 642 6
345 461 28
345 315 8
346 684 24
346 529 11
346 314 29
347 707 15
347 119 25
347 319 48
348 211 44
348 618 27
348 184 23
349 51 39
349 256 27
349 655 1
350 612 3
350 539 48
350 342 22
351 263 32
351 305 23
351 510 36
352 509 48
352 105 8
352 281 15
353 369 6
353 154 2
353 233 34
354 314 28
354 676 14
354 317 42
355 497 41
355 263 21
355 548 44
356 151 29
356 123 42
356 61 30
357 642 49
357 501 49
357 698 21
358 596 37
358 131 10
358 188 41
359 135 22
359 9 1
359 1 13
360 384 12
360 91 24
360 616 12
361 131 6
361 226 12
361 62 49
362 462 40
362 646 6
362 127 20
363 64 26
363 265 28
363 667 45
364 368 23
364 622 10
364 323 26
365 384 31
365 210 18
365 477 17
366 340 34
366 270 46
366 339 17
367 617 4
367 115 45
367 264 18
368 660 5
368 485 40
368 378 17
369 544 24
369 142 0
369 99 4
370 553 26
370 375 40
370 507 45
371 75 4
371 67 40
371 291 28
372 344 49
372 287 48
372 466 31
373 536 46
373 687 7
373 164 10
374 306 31
374 648 9
374 575 4
375 181 27
375 541 22
375 622 36
376 617 35
376 480 31
376 168 27
377 234 13
377 329 14
377 159 30
378 442 28
378 374 23
378 339 34
379 476 30
379 728 13
379 210 42
380 594 22
380 703 34
380 520 31
381 377 46
381 695 38
381 702 4
382 25 38
382 87 18
382 318 32
383 163 17
383 201 36
383 677 12
384 523 0
384 217 25
384 493 28
385 633 9
385 11 0
385 153 25
386 500 10
386 113 41
386 290 9
387 45 49
387 214 33
387 481 32
388 571 26
388 408 12
388 333 24
389 144 50
389 121 30
389 660 12
390 414 10
390 352 28
390 221 16
391 377 33
391 304 41
391 399 49
392 565 14
392 297 48
392 398 19
393 499 47
393 664 2
393 719 32
394 513 32
394 341 50
394 395 1
395 423 47
395 422 11
395 631 40
396 517 4
396 562 33
396 113 20
397 148 18
397 548 49
397 586 1
398 597 47
398 707 2
398 370 49
399 377 6
399 115 18
399 591 25
400 395 28
400 715 46
400 80 5
401 424 11
401 274 6
401 118 36
402 684 43
402 447 1
402 114 14
403 411 20
403 23 35
403 705 17
404 239 36
404 526 4
404 479 35
405 98 42
405 96 27
405 706 40
406 181 34
406 161 10
406 525 46
407 354 16
407 366 21
407 144 2
408 67 21
408 220 31
408 399 24
409 226 9
409 214 40
409 269 33
410 533 31
410 160 39
410 287 25
411 666 50
411 606 9
411 153 31
412 161 2
412 578 39
412 15 36
413 185 22
413 526 10
413 63 47
414 341 23
414 189 24
414 324 46
415 612 10
415 329 21
415 679 7
416 422 30
416 427 6
416 168 38
417 691 43
417 419 16
417 392 4
418 408 42
418 664 17
418 204 7
419 324 17
419 395 9
419 153 4
420 62 18
420 593 22
420 458 44
421 630 14
421 74 31
421 155 32
422 413 19
422 452 40
422 437 29
423 495 2
423 64 44
423 493 1
424 702 49
424 505 23
424 435 45
425 659 23
425 521 9
425 86 27
426 0 28
426 645 36
426 668 37
427 591 18
427 584 30
427 139 29
428 594 18
428 282 11
428 651 48
429 117 27
429 145 22
429 270 44
430 109 11
430 33 31
430 611 1
431 663 35
431 374 32
431 371 22
432 564 28
432 469 15
432 19 28
433 698 36
433 135 25
433 588 13
434 626 5
434 91 21
434 601 3
435 211 15
435 529 41
435 615 19
436 167 8
436 19 40
436 330 15
437 667 6
437 314 30
437 211 21
438 131 8
438 632 27
438 148 5
439 123 43
439 301 34
439 193 19
440 163 19
440 259 5
440 341 44
441 586 1
441 401 3
441 585 38
442 519 14
442 405 11
442 706 45
443 437 45
443 321 13
443 479 40
444 589 0
444 167 28
444 79 41
445 537 2
445 199 47
445 190 15
446 357 46
446 391 39
446 701 12
447 115 36
447 295 33
447 66 4
448 84 31
448 154 5
448 702 4
449 88 32
449 278 49
449 236 31
450 345 50
450 551 27
450 368 47
451 464 7
451 717 44
451 162 12
452 126 17
452 38 28
452 379 41
453 322 3
453 37 46
453 398 7
454 671 9
454 339 10
454 662 49
455 605 49
455 5 27
455 1 46
456 577 30
456 472 3
456 79 46
457 34 1
457 284 2
457 19 41
458 124 50
458 689 22
458 400 5
459 556 15
459 374 21
459 78 4
460 708 23
460 443 40
460 317 29
461 228 33
461 554 12
461 324 9
462 111 5
462 441 11
462 307 34
463 408 12
463 321 37
463 31 20
464 645 2
464 586 3
464 702 49
465 603 16
465 363 25
465 403 21
466 220 4
466 648 39
466 244 40
467 668 44
467 236 39
467 627 42
468 415 2
468 559 41
468 356 47
469 467 35
469 606 33
469 365 7
470 450 46
470 373 19
470 88 39
471 184 21
471 205 43
471 139 6
472 136 10
472 461 8
472 659 32
473 604 15
473 427 4
473 474 8
474 363 13
474 551 22
474 554 23
475 232 48
475 505 2
475 447 10
476 629 23
476 707 3
476 47 0
477 686 5
477 246 27
477 77 42
478 221 35
478 32 3
478 675 43
479 689 9
479 529 16
479 593 11
480 357 29
480 482 2
480 463 30
481 395 36
481 330 19
481 629 16
482 307 50
482 88 2
482 331 21
483 350 15
483 618 41
483 143 50
484 319 20
484 128 47
484 218 21
485 332 30
485 356 7
485 375 40
486 592 2
486 197 36
486 702 47
487 672 17
487 30 6
487 54 35
488 513 4
488 535 13
488 650 7
489 136 45
489 414 46
489 472 35
490 417 15
490 420 28
490 455 48
491 585 32
491 371 38
491 642 28
492 85 3
492 563 26
492 538 23
493 297 15
493 587 41
493 501 2
494 628 36
494 314 28
494 156 31
495 298 46
495 598 48
495 320 28
496 299 14
496 173 43
496 212 18
497 560 49
497 60 40
497 677 22
498 257 23
498 644 27
498 708 49
499 651 12
499 150 43
499 257 36
500 672 43
500 319 14
500 323 11
501 411 0
501 591 29
501 155 41
502 398 45
502 501 32
502 535 37
503 465 17
503 505 46
503 532 0
504 665 24
504 427 30
504 292 35
505 647 2
505 536 2
505 220 10
506 483 41
506 497 14
506 282 40
507 663 8
507 570 7
507 366 13
508 171 5
508 681 38
508 470 18
509 244 43
509 723 20
509 725 5
510 722 38
510 59 36
510 68 7
511 293 11
511 20 11
511 610 8
512 73 1
512 289 36
512 389 40
513 432 22
513 330 34
513 466 16
514 85 39
514 251 29
514 14 42
515 713 47
515 399 42
515 249 13
516 102 36
516 57 34
516 624 14
517 315 47
517 480 21
517 312 25
518 298 41
518 324 37
518 511 13
519 298 49
519 66 19
519 634 34
520 220 47
520 134 22
520 411 29
521 319 38
521 373 20
521 149 0
522 467 8
522 60 16
522 50 8
523 433 37
523 683 50
523 661 8
524 616 42
524 426 12
524 379 12
525 21 30
525 543 24
525 31 11
526 516 48
526 144 10
526 216 46
527 466 21
527 657 17
527 484 49
528 64 28
528 158 43
528 563 49
529 720 10
529 288 43
529 215 25
530 317 14
530 369 37
530 550 16
531 637 3
531 414 13
531 663 2
532 168 28
532 643 42
532 54 7
533 264 27
533 597 26
533 336 25
534 394 38
534 117 14
534 118 47
535 404 35
535 574 37
535 354 20
536 545 3
536 459 43
536 171 1
537 575 28
537 241 17
537 602 11
538 492 4
538 11 22
538 125 25
539 688 3
539 77 13
539 512 36
540 82 27
540 511 33
540 538 27
541 647 27
541 151 28
541 199 28
542 483 23
542 531 40
542 727 36
543 505 28
543 264 6
543 638 21
544 60 46
544 515 30
544 485 0
545 709 48
545 296 47
545 237 22
546 44 14
546 335 26
546 18 14
547 375 38
547 429 10
547 223 18
548 651 50
548 171 48
548 285 9
549 146 26
549 484 23
549 420 38
550 103 40
550 387 49
550 550 50
551 498 15
551 424 18
551 403 19
552 437 37
552 269 20
552 173 7
553 7 0
553 503 44
553 135 26
554 104 34
554 247 22
554 124 5
555 236 15
555 37 42
555 313 7
556 197 0
556 14 15
556 247 22
557 228 45
557 712 11
557 435 44
558 185 2
558 122 47
558 592 13
559 111 36
559 116 50
559 26 48
560 432 0
560 541 19
560 123 42
561 159 49
561 541 26
561 367 39
562 386 34
562 209 17
562 103 36
563 56 25
563 434 2
563 478 19
564 343 14
564 632 19
564 248 24
565 574 46
565 588 50
565 475 46
566 348 23
566 73 49
566 622 37
567 276 23
567 481 29
567 486 32
568 556 21
568 486 17
568 347 39
569 581 35
569 594 13
569 61 3
570 585 47
570 243 11
570 275 6
571 31 32
571 349 39
571 528 15
572 13 3
572 590 19
572 400 11
573 33 35
573 217 40
573 139 16
574 275 40
574 413 40
574 385 10
575 423 39
575 703 37
575 68 6
576 31 6
576 103 18
576 478 17
577 511 6
577 4 13
577 324 25
578 466 44
578 359 32
578 317 16
579 504 1
579 244 0
579 337 6
580 171 9
580 637 10
580 478 48
581 181 46
581 193 50
581 637 12
582 547 6
582 511 9
582 188 41
583 652 26
583 265 50
583 301 28
584 341 12
584 471 30
584 301 45
585 159 18
585 531 20
585 662 27
586 645 27
586 159 41
586 355 9
587 46 33
587 402 19
587 447 18
588 657 5
588 29 17
588 77 36
589 341 26
589 265 50
589 606 22
590 225 12
590 277 14
590 495 47
591 460 11
591 705 15
591 204 38
592 605 13
592 722 26
592 602 1
593 180 49
593 473 1
593 720 29
594 304 9
594 427 39
594 371 25
595 305 49
595 289 1
595 22 16
596 319 46
596 486 32
596 430 7
597 704 43
597 1 33
597 597 10
598 404 29
598 668 29
598 509 20
599 493 42
599 703 33
599 1 23
600 25 32
600 447 33
600 159 17
601 447 8
601 150 43
601 340 6
602 292 35
602 228 6
602 331 5
603 393 9
603 609 9
603 284 25
604 34 23
604 90 38
604 316 27
605 367 17
605 448 8
605 287 20
606 349 22
606 127 14
606 525 32
607 302 29
607 197 31
607 444 38
608 168 15
608 199 20
608 27 36
609 577 42
609 166 40
609 56 48
610 639 42
610 62 28
610 484 9
611 489 8
611 115 10
611 702 20
612 266 4
612 562 20
612 169 41
613 585 38
613 14 19
613 562 42
614 395 29
614 436 48
614 378 18
615 229 30
615 301 13
615 214 23
616 175 13
616 246 23
616 104 9
617 500 0
617 155 44
617 569 0
618 395 13
618 688 16
618 144 13
619 666 47
619 1 20
619 542 49
620 614 4
620 358 18
620 166 31
621 24 9
621 686 39
621 45 12
622 471 26
622 404 44
622 22 3
623 337 42
623 340 5
623 573 0
624 574 43
624 264 12
624 97 47
625 449 13
625 554 36
625 106 22
626 566 44
626 482 6
626 153 2
627 399 26
627 68 26
627 59 25
628 164 7
628 597 16
628 398 32
629 213 28
629 290 43
629 514 37
630 636 25
630 697 25
630 310 47
631 504 2
631 531 31
631 574 21
632 23 14
632 233 17
632 641 7
633 136 35
633 620 23
633 607 22
634 279 13
634 637 28
634 355 22
635 338 49
635 236 34
635 627 6
636 573 12
636 347 45
636 489 30
637 497 26
637 58 3
637 650 11
638 484 50
638 178 25
638 362 38
639 154 8
639 656 2
639 255 14
640 693 5
640 63 24
640 476 4
641 679 15
641 241 33
641 638 11
642 446 36
642 593 31
642 417 44
643 402 36
643 238 39
643 25 38
644 474 8
644 581 25
644 718 10
645 726 41
645 387 42
645 585 41
646 218 28
646 92 25
646 175 48
647 688 38
647 416 23
647 80 33
648 453 2
648 450 19
648 555 19
649 503 1
649 211 37
649 81 22
650 579 28
650 321 26
650 295 45
651 672 29
651 559 0
651 623 47
652 283 44
652 595 15
652 538 26
653 656 18
653 606 19
653 252 36
654 34 12
654 563 13
654 673 39
655 321 39
655 358 24
655 437 34
656 609 43
656 77 49
656 396 1
657 609 11
657 201 30
657 141 14
658 557 31
658 417 13
658 579 26
659 666 45
659 577 11
659 426 22
660 639 29
660 443 34
660 299 41
661 525 24
661 544 25
661 549 42
662 546 45
662 425 13
662 485 27
663 91 20
663 133 49
663 43 36
664 716 26
664 651 48
664 123 29
665 63 1
665 12 32
665 701 19
666 208 49
666 420 8
666 66 7
667 299 7
667 227 40
667 337 9
668 443 44
668 198 6
668 288 39
669 627 19
669 379 46
669 625 32
670 418 32
670 79 37
670 467 14
671 16 39
671 58 19
671 409 10
672 221 41
672 606 30
672 35 16
673 562 41
673 664 18
673 479 32
674 192 24
674 230 26
674 567 20
675 431 6
675 73 39
675 266 45
676 90 11
676 416 12
676 222 25
677 698 9
677 691 41
677 642 19
678 129 34
678 396 32
678 410 30
679 599 50
679 36 7
679 363 6
680 260 46
680 213 29
680 211 25
681 190 6
681 591 23
681 512 30
682 706 21
682 498 22
682 405 40
683 683 4
683 412 31
683 401 15
684 269 25
684 300 37
684 373 41
685 269 44
685 564 40
685 195 27
686 133 44
686 25 9
686 126 41
687 524 29
687 571 39
687 394 23
688 462 11
688 319 15
688 421 27
689 326 12
689 228 16
689 318 18
690 43 37
690 456 31
690 455 10
691 171 30
691 306 0
691 442 5
692 475 23
692 172 46
692 551 13
693 124 1
693 593 47
693 205 1
694 19 40
694 457 27
694 290 32
695 85 41
695 435 31
695 474 48
696 345 5
696 89 35
696 62 6
697 613 2
697 559 44
697 92 40
698 392 36
698 617 2
698 508 2
699 385 37
699 234 48
699 159 22
700 440 42
700 23 50
700 314 15
701 481 33
701 703 14
701 199 17
702 704 27
702 170 20
702 4 45
703 496 42
703 283 24
703 497 7
704 666 27
704 436 18
704 346 3
705 134 0
705 680 8
705 20 12
706 447 11
706 555 36
706 590 18
707 62 45
707 107 31
707 119 15
708 680 33
708 214 30
708 6 1
709 491 9
709 155 9
709 52 14
710 652 40
710 200 46
710 371 10
711 111 44
711 435 19
711 542 16
712 508 16
712 307 37
712 335 14
713 511 1
713 99 7
713 566 32
714 398 19
714 332 10
714 196 31
715 723 42
715 428 45
715 19 28
716 314 41
716 600 7
716 278 16
717 96 44
717 246 22
717 259 8
718 100 5
718 620 30
718 127 8
719 33 47
719 659 8
719 361 21
720 642 14
720 374 41
720 42 34
721 445 28
721 563 37
721 557 13
722 375 9
722 210 48
722 339 16
723 196 48
723 697 33
723 110 10
724 570 17
724 388 46
724 203 27
725 35 14
725 522 23
725 108 46
726 335 1
726 172 36
726 567 50
727 627 21
727 70 38
727 301 44
728 683 46
728 591 39
728 179 32
