243 3
152 81 23
153 9 12
153 101 26
153 79 24
154 180 26
154 151 3
154 130 0
155 231 2
155 194 50
155 109 7
156 238 41
156 242 38
156 171 30
157 98 19
157 47 3
157 89 40
158 26 34
158 34 22
158 178 5
159 22 5
159 38 27
159 191 32
160 167 29
160 18 19
160 179 49
161 161 0
161 95 38
161 190 34
162 111 36
162 62 24
162 30 37
163 168 45
163 202 5
163 227 15
164 27 44
164 59 32
164 222 28
165 225 25
165 122 32
165 169 17
166 192 46
166 118 49
166 225 30
167 39 4
167 150 31
167 61 22
168 94 27
168 27 1
168 184 5
169 6 14
169 43 22
169 24 39
170 113 5
170 172 2
170 21 12
171 224 18
171 2 6
171 47 21
172 81 27
172 35 19
172 2 0
173 35 19
173 45 18
173 167 3
174 218 47
174 87 40
174 11 2
175 159 48
175 6 3
175 68 7
176 9 6
176 190 7
176 203 41
177 169 42
177 63 18
177 59 5
178 22 49
178 115 23
178 165 37
179 171 4
179 121 36
179 198 41
180 85 3
180 196 21
180 215 13
181 29 37
181 114 33
181 158 9
182 79 26
182 133 9
182 1 3
183 13 33
183 0 1
183 65 43
184 224 19
184 195 22
184 141 48
185 187 41
185 51 2
185 165 8
186 30 43
186 27 9
186 239 16
187 70 37
187 75 13
187 95 21
188 127 36
188 51 32
188 46 1
189 122 10
189 188 29
189 132 39
190 59 5
190 92 14
190 27 32
191 180 48
191 46 21
191 114 48
192 170 38
192 124 15
192 74 18
193 14 29
193 29 28
193 216 22
194 86 13
194 22 37
194 145 40
195 0 24
195 161 48
195 220 37
196 7 34
196 169 40
196 1 48
197 47 24
197 224 38
197 84 34
198 0 30
198 113 34
198 110 49
199 75 12
199 62 19
199 236 31
200 26 7
200 37 11
200 155 35
201 151 9
201 144 3
201 73 24
202 212 38
202 19 37
202 186 11
203 214 44
203 110 4
203 6 36
204 163 24
204 221 22
204 105 47
205 119 4
205 124 43
205 160 47
206 86 20
206 53 8
206 156 47
207 128 28
207 212 32
207 99 36
208 168 12
208 228 13
208 147 33
209 53 44
209 101 38
209 80 29
210 181 22
210 196 7
210 19 39
211 184 30
211 173 12
211 123 25
212 208 19
212 62 10
212 233 37
213 102 12
213 177 5
213 170 10
214 173 12
214 133 4
214 149 23
215 27 4
215 46 3
215 199 16
216 75 10
216 116 25
216 125 31
217 101 23
217 229 28
217 129 13
218 105 28
218 62 1
218 202 31
219 207 9
219 41 49
219 235 3
220 216 2
220 56 44
220 149 19
221 65 29
221 57 19
221 214 9
222 52 0
222 81 6
222 24 40
223 44 8
223 61 21
223 18 21
224 160 29
224 76 4
224 12 48
225 11 28
225 237 50
225 42 27
226 27 45
226 70 38
226 0 43
227 94 6
227 184 30
227 208 8
228 109 31
228 234 4
228 65 42
229 187 9
229 165 0
229 230 13
230 183 22
230 194 27
230 13 33
231 129 36
231 85 40
231 43 32
232 182 0
232 105 41
232 59 33
233 237 40
233 67 26
233 207 29
234 62 38
234 143 6
234 7 5
235 72 44
235 113 11
235 10 26
236 88 32
236 127 16
236 187 40
237 142 31
237 34 45
237 14 28
238 183 32
238 14 8
238 152 2
239 237 4
239 168 20
239 123 7
240 25 50
240 41 49
240 142 35
241 5 46
241 176 31
241 219 1
242 192 4
242 9 40
242 242 4
